@relation t10k
@attribute pixe1 {0,1}
@attribute pixe2 {0,1}
@attribute pixe3 {0,1}
@attribute pixe4 {0,1}
@attribute pixe5 {0,1}
@attribute pixe6 {0,1}
@attribute pixe7 {0,1}
@attribute pixe8 {0,1}
@attribute pixe9 {0,1}
@attribute pixe10 {0,1}
@attribute pixe11 {0,1}
@attribute pixe12 {0,1}
@attribute pixe13 {0,1}
@attribute pixe14 {0,1}
@attribute pixe15 {0,1}
@attribute pixe16 {0,1}
@attribute pixe17 {0,1}
@attribute pixe18 {0,1}
@attribute pixe19 {0,1}
@attribute pixe20 {0,1}
@attribute pixe21 {0,1}
@attribute pixe22 {0,1}
@attribute pixe23 {0,1}
@attribute pixe24 {0,1}
@attribute pixe25 {0,1}
@attribute pixe26 {0,1}
@attribute pixe27 {0,1}
@attribute pixe28 {0,1}
@attribute pixe29 {0,1}
@attribute pixe30 {0,1}
@attribute pixe31 {0,1}
@attribute pixe32 {0,1}
@attribute pixe33 {0,1}
@attribute pixe34 {0,1}
@attribute pixe35 {0,1}
@attribute pixe36 {0,1}
@attribute pixe37 {0,1}
@attribute pixe38 {0,1}
@attribute pixe39 {0,1}
@attribute pixe40 {0,1}
@attribute pixe41 {0,1}
@attribute pixe42 {0,1}
@attribute pixe43 {0,1}
@attribute pixe44 {0,1}
@attribute pixe45 {0,1}
@attribute pixe46 {0,1}
@attribute pixe47 {0,1}
@attribute pixe48 {0,1}
@attribute pixe49 {0,1}
@attribute pixe50 {0,1}
@attribute pixe51 {0,1}
@attribute pixe52 {0,1}
@attribute pixe53 {0,1}
@attribute pixe54 {0,1}
@attribute pixe55 {0,1}
@attribute pixe56 {0,1}
@attribute pixe57 {0,1}
@attribute pixe58 {0,1}
@attribute pixe59 {0,1}
@attribute pixe60 {0,1}
@attribute pixe61 {0,1}
@attribute pixe62 {0,1}
@attribute pixe63 {0,1}
@attribute pixe64 {0,1}
@attribute pixe65 {0,1}
@attribute pixe66 {0,1}
@attribute pixe67 {0,1}
@attribute pixe68 {0,1}
@attribute pixe69 {0,1}
@attribute pixe70 {0,1}
@attribute pixe71 {0,1}
@attribute pixe72 {0,1}
@attribute pixe73 {0,1}
@attribute pixe74 {0,1}
@attribute pixe75 {0,1}
@attribute pixe76 {0,1}
@attribute pixe77 {0,1}
@attribute pixe78 {0,1}
@attribute pixe79 {0,1}
@attribute pixe80 {0,1}
@attribute pixe81 {0,1}
@attribute pixe82 {0,1}
@attribute pixe83 {0,1}
@attribute pixe84 {0,1}
@attribute pixe85 {0,1}
@attribute pixe86 {0,1}
@attribute pixe87 {0,1}
@attribute pixe88 {0,1}
@attribute pixe89 {0,1}
@attribute pixe90 {0,1}
@attribute pixe91 {0,1}
@attribute pixe92 {0,1}
@attribute pixe93 {0,1}
@attribute pixe94 {0,1}
@attribute pixe95 {0,1}
@attribute pixe96 {0,1}
@attribute pixe97 {0,1}
@attribute pixe98 {0,1}
@attribute pixe99 {0,1}
@attribute pixe100 {0,1}
@attribute pixe101 {0,1}
@attribute pixe102 {0,1}
@attribute pixe103 {0,1}
@attribute pixe104 {0,1}
@attribute pixe105 {0,1}
@attribute pixe106 {0,1}
@attribute pixe107 {0,1}
@attribute pixe108 {0,1}
@attribute pixe109 {0,1}
@attribute pixe110 {0,1}
@attribute pixe111 {0,1}
@attribute pixe112 {0,1}
@attribute pixe113 {0,1}
@attribute pixe114 {0,1}
@attribute pixe115 {0,1}
